ubigeo,distrito,provincia,departamento,n_active,n_emergency,area_km2,dist_km_nearest_emergency,dist_km_nearest_any,fac_score,activity_score,emerg_atenciones,access_score,pct_ccpp_within_15km_any,composite_score,tier
120426,POMACANCHA,JAUJA,JUNÍN,3,0,281.33,22.982,5.896,39.38706015891033,44.5800227014756,0.0,60.130533484676505,100.0,51.05703745743473,Weakly served
120427,RICRAN,JAUJA,JUNÍN,2,0,319.84,24.397,7.447,25.198637911464246,44.5800227014756,0.0,60.130533484676505,100.0,47.50993189557322,Weakly served
120428,SAN LORENZO,JAUJA,JUNÍN,1,0,24.31,14.573,1.324,79.56867196367764,44.5800227014756,0.0,60.130533484676505,100.0,61.10244040862656,Best served
120429,SAN PEDRO DE CHUNAN,JAUJA,JUNÍN,1,0,8.71,6.5,0.794,91.71396140749148,44.5800227014756,0.0,60.130533484676505,100.0,64.13876276958003,Best served
120430,SAUSA,JAUJA,JUNÍN,1,0,4.69,2.258,0.377,94.8921679909194,44.5800227014756,0.0,60.130533484676505,100.0,64.933314415437,Best served
120431,SINCOS,JAUJA,JUNÍN,5,0,231.0,18.314,2.251,61.80476730987514,44.5800227014756,0.0,60.130533484676505,100.0,56.661464245175935,Moderately served
120432,TUNAN MARCA,JAUJA,JUNÍN,1,0,32.68,13.204,3.376,72.36095346197503,44.5800227014756,0.0,60.130533484676505,100.0,59.300510783200906,Moderately served
120433,YAULI,JAUJA,JUNÍN,1,0,93.07,11.229,4.898,39.55732122587968,44.5800227014756,0.0,60.130533484676505,100.0,51.099602724177075,Weakly served
120434,YAUYOS,JAUJA,JUNÍN,2,0,19.59,2.799,0.241,90.80590238365494,44.5800227014756,0.0,60.130533484676505,100.0,63.91174801362089,Best served
120501,JUNIN,JUNÍN,JUNÍN,4,1,869.58,3.673,3.673,19.35300794551646,90.06810442678774,2875.0,60.130533484676505,100.0,57.420544835414304,Moderately served
